020|a	LOCATION	NOTE(ITEM)	BARCODE
9781606491676 (pbk);1606491679;9781606491683 (e-book);1606491687 (e-book)	xwb  	rec. 010213	30000002084584
9781606492826 (pbk.);1606492829 (pbk.)	xwb  	rec. 010213	30000002084410
9780521825542 (hardback);0521825547 (hardback);9780521532617 (pbk.);0521532612 (pbk.)	xwb  	rec. 010213	30000002084451
9780521868679 (hardback);052186867X (hardback);9780521688680 (paperback);052168868X (paperback)	xwb  	rec. 010213	30000002084576
0399530479;9780399530470	xwb  	rec. 010213	30000002539843
9780199233397 (v. 1);019923339X (v. 1);0199233284 (v. 2);0199233551 (v. 3);9780199233281 (v. 2);9780199233557 (v. 3)	xwb  	rec. 010213	30000002539835
9780719067525;0719067529	xwb  	rec. 010213	30000002539918
1848167822;9781848167827	xwb  	rec. 010213	30000002539959
9780691154558;0691154554	xwb  	rec. 010213	30000002084543
0812980468 (pbk.);9780812980462 (pbk.)	xwb  	rec. 010213	30000002084675
0812980468 (pbk.);9780812980462 (pbk.)	xwb  	rec. 010213	30000002084634
9781595581747 (pbk.);159558174X (pbk.)	xwb  	rec. 010213	30000002084501
9780674047396 (alk. paper);0674047397 (alk. paper)	xwb  	rec. 010213	30000002539991
9780307475534 (pbk.);0307475530 (pbk.)	xwb  	rec. 010213	30000002540106
9780199693740 (pbk.);0199693749 (pbk.)	xwb  	rec. 010213	30000002540080
0226260178 (pbk.);9780226260174 (pbk.)	xwb  	rec. 010213	30000002084428
9780199587452 (pbk.);0199587450 (pbk.)	xwb  	rec. 010213	30000002189037
9780199640935 (pbk.);0199640939 (pbk.)	xwb  	rec. 010213	30000002188997
0199945055;9780199945054	xwb  	rec. 010213	30000002540114
9780813551579 (hardcover : alk. paper);0813551579 (hardcover : alk. paper);9780813551586 (pbk. : alk. paper);0813551587 (pbk. : alk. paper)	xwb  	rec. 010213	30000002084493
0814314708;9780814314708	xwb  	rec. 010213	30000002084378
9780195399691 (alk. paper);0195399692 (alk. paper)	xwb  	rec. 010213	30000002189110
9780199232116 (hardback);0199232113 (hardback)	xwb  	rec. 010213	30000002189078
9780195366884 (hardcover : alk. paper);0195366883 (hardcover : alk. paper);0195314735;9780195314731	xwb  	rec. 010213	30000002540155
9780195391244 (cloth : alk. paper);0195391241 (cloth : alk. paper)	xwb  	rec. 010213	30000002540163
9780195366556;0195366557	xwb  	rec. 010213	30000002540122
1897959494 (pbk.);9781897959497 (pbk.)	xwb  	rec. 010213	30000002539876
9780230019423 (hbk.);0230019420 (hbk.);9780230019430 (pbk.);0230019439 (pbk.)	xwb  	rec. 010213	30000002084592
9780230235106 (v. 1);0230235107 (v. 1);9780230218345 (v. 2);0230218342 (v. 2);9780230224605 (v. 3);0230224601 (v. 3);9780230549388 (v. 4);0230549381 (v. 4);9780230550711 (v. 5);0230550711 (v. 5)	xwb  	rec. 010213	30000002539884
0226307921 (alk. paper);9780226307923 (alk. paper)	xwb  	rec. 010213	30000002084469
9780521851565 (hardback);0521851564 (hardback);9780521617260 (pbk.);052161726X (pbk.)	xwb  	rec. 010213	30000002084535
9781593272029 (pbk.);1593272022 (pbk.)	xwb  	rec. 010213	
9780813548845 (hardcover : alk. paper);0813548845 (hardcover : alk. paper);0813553938 (pbk.);9780813553931 (pbk.)	xwb  	rec. 010213	30000002539926
1591397073;9781591397076	xwb  	rec. 010213	30000002189193
9781412940535 (cloth : acid-free paper);1412940532 (cloth : acid-free paper);9781412940542 (pbk. : acid-free paper);1412940540 (pbk. : acid-free paper)	xwb  	rec. 010213	30000002539967
9780226470481 (cloth : alk. paper);0226470482 (cloth : alk. paper);9780226470498 (pbk. : alk. paper);0226470490 (pbk. : alk. paper)	xwb  	rec. 010213	30000002084337
9780393342642 (pbk.);0393342646 (pbk.)	xwb  	rec. 010213	30000002084626
9780299234645 (pbk. : alk. paper);0299234649 (pbk. : alk. paper)	xwb  	rec. 010213	30000002084212
